"protocol" "tgs" "np" "nc" "tf"
"ethersbus" "52dd1e" 1 1 1
"ethersbus" "2e0000" 1 1 1
"ethersbus" "000a06" 1 1 1
"ethersbus" "870000" 1 1 1
"ethersbus" "0a1bed" 1 1 1
"ethersbus" "0ec652" 1 1 1
"ethersbus" "000119" 1 1 1
"ethersbus" "1b6900" 1 1 1
"ethersbus" "0a1b9e" 1 1 1
"ethersbus" "ede600" 1 1 1
"ethersbus" "000c01" 1 1 1
"ethersbus" "028000" 1 1 1
"ethersbus" "4d6f64" 1 1 1
"ethersbus" "000a47" 1 1 1
"ethersbus" "2c0000" 1 1 1
"ethersbus" "f60100" 1 1 1
"ethersbus" "52a87f" 1 1 1
"ethersbus" "0a1bd1" 1 1 1
"ethersbus" "020300" 1 1 1
"ethersbus" "130100" 1 1 1
"ethersbus" "001200" 1 1 1
"ethersbus" "526e8c" 1 1 1
"ethersbus" "000801" 1 1 1
"ethersbus" "08000a" 1 1 1
"ethersbus" "810000" 1 1 1
"ethersbus" "52b37e" 1 1 1
"ethersbus" "a6040e" 1 1 1
"ethersbus" "5aa500" 1 1 1
"ethersbus" "225c00" 1 1 1
"ethersbus" "05000a" 1 1 1
"ethersbus" "1a000a" 1 1 1
"ethersbus" "015236" 1 1 1
"ethersbus" "0a1b76" 1 1 1
"ethersbus" "010002" 1 1 1
"ethersbus" "000a1e" 1 1 1
"ethersbus" "a45aa5" 1 1 1
"ethersbus" "000201" 1 1 1
"ethersbus" "522def" 1 1 1
"ethersbus" "d45900" 1 1 1
"ethersbus" "dd1e00" 1 1 1
"ethersbus" "140100" 1 1 1
"ethersbus" "00004b" 1 1 1
"ethersbus" "c65200" 1 1 1
"ethersbus" "003300" 1 1 1
"ethersbus" "323000" 1 1 1
"ethersbus" "000701" 1 1 1
"ethersbus" "8e0000" 1 1 1
"ethersbus" "37dc00" 1 1 1
"ethersbus" "1b9b12" 1 1 1
"ethersbus" "520000" 1 1 1
"ethersbus" "5c0001" 1 1 1
"ethersbus" "c00000" 1 1 1
"ethersbus" "000500" 1 1 1
"ethersbus" "01526f" 1 1 1
"ethersbus" "000a01" 1 1 1
"ethersbus" "4d0000" 1 1 1
"ethersbus" "c4444e" 1 1 1
"ethersbus" "1b6ddd" 1 1 1
"ethersbus" "001501" 1 1 1
"ethersbus" "15000a" 1 1 1
"ethersbus" "6fbe00" 1 1 1
"ethersbus" "59bc00" 1 1 1
"ethersbus" "ca3f00" 1 1 1
"ethersbus" "a50001" 1 1 1
"ethersbus" "656c6c" 1 1 1
"ethersbus" "1e0900" 1 1 1
"ethersbus" "0b3d00" 1 1 1
"ethersbus" "140000" 1 1 1
"ethersbus" "fac900" 1 1 1
"ethersbus" "1e0152" 1 1 1
"ethersbus" "d19800" 1 1 1
"ethersbus" "aa0000" 1 1 1
"ethersbus" "10000a" 1 1 1
"ethersbus" "015237" 1 1 1
"ethersbus" "7a1900" 1 1 1
"ethersbus" "000200" 1 1 1
"ethersbus" "00001b" 1 1 1
"ethersbus" "521adf" 1 1 1
"ethersbus" "e81e00" 1 1 1
"ethersbus" "13000a" 1 1 1
"ethersbus" "36ee00" 1 1 1
"ethersbus" "0e0152" 1 1 1
"ethersbus" "1b00ce" 1 1 1
"ethersbus" "120000" 1 1 1
"ethersbus" "000001" 1 1 1
"ethersbus" "00017a" 1 1 1
"ethersbus" "030200" 1 1 1
"ethersbus" "000031" 1 1 1
"ethersbus" "001f01" 1 1 1
"ethersbus" "0a1b80" 1 1 1
"ethersbus" "7e0000" 1 1 1
"ethersbus" "1bb933" 1 1 1
"ethersbus" "0ebb23" 1 1 1
"ethersbus" "000021" 1 1 1
"ethersbus" "2def00" 1 1 1
"ethersbus" "a80000" 1 1 1
"ethersbus" "000018" 1 1 1
"ethersbus" "00e0c5" 1 1 1
"ethersbus" "0c0152" 1 1 1
"ethersbus" "52dc2c" 1 1 1
"ethersbus" "110100" 1 1 1
"ethersbus" "190001" 1 1 1
"ethersbus" "0a4701" 1 1 1
"ethersbus" "000a51" 1 1 1
"ethersio" "000101" 26 27 0.962962962962963
"ethersio" "4f0001" 26 27 0.962962962962963
"ethersio" "001800" 26 27 0.962962962962963
"ethersio" "0c0000" 26 27 0.962962962962963
"ethersio" "000001" 26 27 0.962962962962963
"ethersio" "494f00" 26 27 0.962962962962963
"ethersio" "110000" 26 27 0.962962962962963
"ethersio" "010000" 26 27 0.962962962962963
"ethersio" "001100" 26 27 0.962962962962963
"ethersio" "020000" 26 27 0.962962962962963
"ethersio" "455349" 26 27 0.962962962962963
"ethersio" "000200" 26 27 0.962962962962963
"ethersio" "000100" 26 27 0.962962962962963
"ethersio" "000c00" 26 27 0.962962962962963
"ethersio" "180000" 26 27 0.962962962962963
"ethersio" "010100" 26 27 0.962962962962963
"ethersio" "53494f" 26 27 0.962962962962963
"fins" "012001" 1 1 1
"fins" "070180" 1 1 1
"fins" "7a0701" 1 1 1
"fins" "060000" 1 1 1
"fins" "7a0305" 1 1 1
"fins" "050000" 1 1 1
"fins" "007a08" 1 1 1
"fins" "010180" 1 1 1
"fins" "00ffff" 1 1 1
"fins" "7a0220" 1 1 1
"fins" "007a07" 1 1 1
"fins" "434480" 1 1 1
"fins" "cc0001" 1 1 1
"fins" "98cccc" 1 1 1
"fins" "800200" 1 1 1
"fins" "010300" 1 1 1
"fins" "018000" 1 1 1
"fins" "424344" 1 1 1
"fins" "ff0100" 1 1 1
"fins" "4e0000" 1 1 1
"fins" "cdce00" 1 1 1
"fins" "01011b" 1 1 1
"fins" "0195cc" 1 1 1
"fins" "010101" 1 1 1
"fins" "050180" 1 1 1
"fins" "010580" 1 1 1
"fins" "cccc00" 1 1 1
"fins" "00cccc" 1 1 1
"fins" "0190cc" 1 1 1
"fins" "004142" 1 1 1
"fins" "0580cc" 1 1 1
"fins" "010200" 1 1 1
"fins" "7a0402" 1 1 1
"fins" "434445" 1 1 1
"fins" "7a0603" 1 1 1
"fins" "1bcccc" 1 1 1
"fins" "020103" 1 1 1
"fins" "080000" 1 1 1
"fins" "000101" 1 1 1
"fins" "00ff80" 1 1 1
"fins" "cccdce" 1 1 1
"fins" "90cccc" 1 1 1
"fins" "020000" 1 1 1
"fins" "020901" 1 1 1
"fins" "010201" 1 1 1
"fins" "200080" 1 1 1
"fins" "000002" 1 1 1
